   Count  Suspect
       7        0   {<\n>" }
       4        0   {<\n>(N}
       6        0   {<\n>(W}
       4        0   {<\n>(d}
       2        0   {<\n>(i}
       2        0   {<\n>+)}
       2        0   {<\n>15}
      11        0   {<\n>19}
       2        0   {<\n>2 }
       2        0   {<\n>31}
       2        0   {<\n>50}
       2        0   {<\n>Ab}
       2        0   {<\n>Ak}
       2        0   {<\n>Al}
       2        0   {<\n>An}
       4        0   {<\n>Ar}
       2        0   {<\n>At}
       6        0   {<\n>Au}
       2        0   {<\n>Ba}
       2        0   {<\n>Bö}
       2        0   {<\n>Co}
       2        0   {<\n>Da}
       2        0   {<\n>Di}
       4        0   {<\n>Dr}
       2        0   {<\n>Du}
       2        0   {<\n>Ei}
       2        0   {<\n>Es}
       2        0   {<\n>Fa}
       2        0   {<\n>Fe}
       6        0   {<\n>Fr}
       6        0   {<\n>Ge}
       6        0   {<\n>Gr}
       2        0   {<\n>Ja}
       2        0   {<\n>Je}
       4        0   {<\n>Ka}
       2        0   {<\n>Li}
       2        0   {<\n>Lö}
       2        0   {<\n>Ma}
       2        0   {<\n>Or}
       8        0   {<\n>St}
       2        0   {<\n>Sä}
       2        0   {<\n>Tä}
       4        0   {<\n>Um}
       2        0   {<\n>Un}
       6        0   {<\n>Vo}
       2        0   {<\n>Wi}
       2        0   {<\n>Za}
       2        0   {<\n>Zu}
       2        0   {<\n>au}
       2        0   {<\n>di}
       2        0   {<\n>do}
       2        0   {<\n>du}
       2        0   {<\n>fr}
       2        0   {<\n>re}
       2        0   {<\n>tr}
       2        0   {<\n>ul}
       2        0   {<\n>üb}
      16        0   { %<\n>}
       3        0   { % }
       2        0   { (2}
       2        0   { (D}
       2        0   { (M}
       8        0   { (W}
       2        0   { (a}
       1        0   { +)}
       2        0   { -<\n>}
       6        0   { - }
       2        0   { -A}
       2        0   { -B}
       1        0   { 0 }
       1        0   { 0%}
      14        0   { 00}
       4        0   { 02}
       2        0   { 05}
      12        0   { 1 }
       2        0   { 1)}
       5        0   { 10}
       1        0   { 12}
       6        0   { 14}
       4        0   { 15}
       2        0   { 17}
      17        0   { 19}
       2        0   { 1:}
      22        0   { 2 }
       2        0   { 20}
       2        0   { 28}
       6        0   { 3 }
       2        0   { 31}
       2        0   { 34}
       4        0   { 36}
       2        0   { 38}
       8        0   { 4 }
       2        0   { 44}
       2        0   { 47}
       6        0   { 5 }
       6        0   { 50}
       2        0   { 52}
       2        0   { 54}
       2        0   { 58}
       4        0   { 6 }
       1        0   { 6%}
       5        0   { 60}
       2        0   { 64}
       2        0   { 65}
       1        0   { 7 }
       4        0   { 70}
       1        0   { 71}
       4        0   { 73}
       2        0   { 75}
       2        0   { 77}
       2        0   { 78}
       2        0   { 8 }
       2        0   { 81}
       4        0   { 87}
       4        0   { 89}
       2        0   { 9 }
       8        0   { 92}
       2        0   { 94}
       2        0   { 97}
       2        0   { = }
       2        0   { A.}
