UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     607   Words
      12   Misrecognized
   98.02%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       1        0   100.00        1
       2        0   100.00        2
       3        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
      25        0   100.00        1
     104        1    99.04        2
     133        2    98.50        3
      74        4    94.59        4
      35        1    97.14        5
      41        0   100.00        6
      34        2    94.12        7
      39        1    97.44        8
      31        1    96.77        9
      22        0   100.00       10
      23        0   100.00       11
      24        0   100.00       12
       6        0   100.00       13
       6        0   100.00       14
       5        0   100.00       15
       2        0   100.00       17
     604       12    98.01    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     287       11    96.17        1
      45        0   100.00        2
      21        0   100.00        3
      12        0   100.00        4
       2        0   100.00        5
       3        0   100.00        6
       2        0   100.00        7
       1        0   100.00       10
       4        0   100.00      >10
     377       11    97.08    Total

Phrases
   Count   Missed   %Right   Length
     607       12    98.02        1
     606       22    96.37        2
     605       32    94.71        3
     604       41    93.21        4
     603       50    91.71        5
     602       59    90.20        6
     601       68    88.69        7
     600       77    87.17        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       2        0   100.00   in

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   0
       1        0   100.00   0,0,0,0,0,0
       1        0   100.00   00
      22        0   100.00   000
       3        0   100.00   001
       1        0   100.00   010
       1        0   100.00   019
       1        0   100.00   031
       1        0   100.00   095
       5        0   100.00   1
       2        0   100.00   10
       4        0   100.00   100
       1        1     0.00   1000
       1        0   100.00   101
       1        1     0.00   115
       1        0   100.00   12
       1        0   100.00   120
       1        0   100.00   13.4.1953
       1        0   100.00   163
       1        1     0.00   168,5
       1        0   100.00   18
       1        0   100.00   180
       1        0   100.00   19
       1        0   100.00   1949
       3        0   100.00   1951
       1        0   100.00   1952
       3        0   100.00   1953
       4        0   100.00   1954
       1        0   100.00   1955
       1        0   100.00   1956
       1        1     0.00   1t.h
       3        0   100.00   2
       1        0   100.00   20
       4        0   100.00   200
       1        0   100.00   21
       1        0   100.00   21b
       1        0   100.00   23
       1        0   100.00   2400
       1        0   100.00   250
       2        0   100.00   29
       1        0   100.00   29.9
       3        0   100.00   3
       2        0   100.00   30
       1        0   100.00   30.9.1954
       1        0   100.00   30.9.1955
       1        0   100.00   33
       1        0   100.00   333
       1        0   100.00   34
       1        0   100.00   35
       1        0   100.00   352
       1        0   100.00   36
       1        0   100.00   387
       2        0   100.00   4
       4        0   100.00   40
       1        0   100.00   402
       1        0   100.00   41
       1        0   100.00   416
       1        0   100.00   430
       2        0   100.00   460
       1        0   100.00   47
       1        0   100.00   498
       1        0   100.00   499
       1        0   100.00   5
       2        0   100.00   50
       1        0   100.00   51
       1        0   100.00   52
       1        0   100.00   53
       1        0   100.00   54
       3        0   100.00   55
       1        0   100.00   560
       1        0   100.00   6
       1        0   100.00   60
       1        0   100.00   609
       1        0   100.00   627
       2        0   100.00   67
       1        0   100.00   697
       2        0   100.00   7
       2        0   100.00   70
       1        0   100.00   71
       1        0   100.00   72
       1        0   100.00   728400
       1        0   100.00   736
       1        0   100.00   762
       1        0   100.00   77
       1        0   100.00   795
       2        0   100.00   8
       1        0   100.00   800
       1        0   100.00   81
       1        0   100.00   823
       1        0   100.00   827
       1        0   100.00   86
       1        0   100.00   900
       1        0   100.00   909
       1        0   100.00   921
       1        0   100.00   925
       1        0   100.00   932
       1        0   100.00   94
       1        0   100.00   96
       1        0   100.00   991
       1        0   100.00   ab
       1        0   100.00   abschreibungen
      16        0   100.00   ag
       2        0   100.00   akt
       3        0   100.00   aktien
       1        0   100.00   aktienkurse
       1        0   100.00   aktio
       1        0   100.00   als
       1        0   100.00   amtl
       1        0   100.00   anhaltend
       1        0   100.00   anlagevermögen
       1        0   100.00   anteil
       1        0   100.00   auch
       2        0   100.00   auf
       1        0   100.00   aufsichtsrat
       3        0   100.00   aus
       1        0   100.00   band
      10        0   100.00   bank
       1        0   100.00   bankverein
       1        0   100.00   barich
       1        0   100.00   barmittel
       1        0   100.00   bayerische
       1        0   100.00   beachtlich
       1        0   100.00   ber
       1        0   100.00   bereich
       6        0   100.00   berlin
       3        0   100.00   berliner
       1        0   100.00   beson
       1        0   100.00   beteiligungen
       1        0   100.00   biernat
       1        0   100.00   bilanzen
       1        0   100.00   bis
       1        0   100.00   blankmaterial
       1        0   100.00   bleche
       1        0   100.00   bochum
       1        0   100.00   brück
       1        0   100.00   brüninghaus
       1        1     0.00   burg
       1        0   100.00   burkhardt
       1        0   100.00   börsennotiz
       1        1     0.00   c.g
       1        0   100.00   cie
       6        0   100.00   co
       2        0   100.00   commerz
       2        0   100.00   commerzbank
       1        0   100.00   credit
       1        0   100.00   d
       1        0   100.00   dabei
       1        0   100.00   darunter
       1        0   100.00   davon
       1        0   100.00   de
       2        0   100.00   dem
       4        0   100.00   den
       7        0   100.00   der
       1        0   100.00   ders
       1        0   100.00   detmold
       1        0   100.00   deutsche
       2        0   100.00   die
       1        0   100.00   dillnhütten
       3        0   100.00   dipl
       2        0   100.00   disconto
       3        0   100.00   div.sch.nr
       3        0   100.00   dividenden
      15        1    93.33   dm
       1        0   100.00   dorf
       2        0   100.00   dortmund
       3        0   100.00   dr
       1        0   100.00   dr.fritz
       1        0   100.00   dr.rudolf
       1        0   100.00   dudziak
       1        0   100.00   dustrie
       1        1     0.00   düssel
       7        0   100.00   düsseldorf
       1        0   100.00   edelstähle
       1        0   100.00   eigenkapital
       1        0   100.00   eine
       1        0   100.00   elektrostahl
       1        0   100.00   erhöht
       1        0   100.00   erhöhte
       2        0   100.00   erhöhung
       2        0   100.00   erich
       1        0   100.00   ernst
       1        0   100.00   erzeugung
       2        0   100.00   essen
       1        0   100.00   ferner
       1        0   100.00   fernruf
       1        0   100.00   fernschreiber
       2        0   100.00   finck
       2        0   100.00   frank
       4        0   100.00   frankfurt
       1        0   100.00   freiv
       1        0   100.00   fremdkapital
