UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     309   Words
     103   Misrecognized
   66.67%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       2        0   100.00        1
       1        0   100.00        2
       1        1     0.00        4
       4        1    75.00    Total

Non-stopwords
   Count   Missed   %Right   Length
      43       19    55.81        1
      40        8    80.00        2
      67       33    50.75        3
      32        4    87.50        4
      20        2    90.00        5
      14        4    71.43        6
      14        3    78.57        7
      21        4    80.95        8
      10        5    50.00        9
      11        6    45.45       10
      10        4    60.00       11
       6        3    50.00       12
       1        0   100.00       13
       4        2    50.00       14
       2        2     0.00       15
       2        1    50.00       17
       3        0   100.00       18
       2        1    50.00       19
       1        0   100.00       21
       1        0   100.00       22
       1        1     0.00       27
     305      102    66.56    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     173       64    63.01        1
      21        3    85.71        2
       5        1    80.00        3
       5        0   100.00        4
       1        0   100.00        6
       1        0   100.00        7
       2        0   100.00        9
       2        0   100.00      >10
     210       68    67.62    Total

Phrases
   Count   Missed   %Right   Length
     309      103    66.67        1
     308      144    53.25        2
     307      170    44.63        3
     306      192    37.25        4
     305      210    31.15        5
     304      223    26.64        6
     303      235    22.44        7
     302      247    18.21        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       1        0   100.00   i
       1        0   100.00   in
       1        1     0.00   will

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   0
       6        0   100.00   000
       1        0   100.00   001
       1        1     0.00   020
       1        1     0.00   023
       1        1     0.00   051
       9        2    77.78   1
       1        1     0.00   100
       1        1     0.00   1000
       1        0   100.00   107
       1        1     0.00   127
       1        1     0.00   14.9.1951
       1        1     0.00   144
       2        1    50.00   147
       1        0   100.00   15
       2        1    50.00   150
       1        1     0.00   17.8.1954
       1        0   100.00   1928
       2        0   100.00   1948
       1        0   100.00   1949
       1        0   100.00   1950
       1        0   100.00   1951
       1        0   100.00   1952
       1        0   100.00   1953
       2        0   100.00   1954
       3        0   100.00   1955
       1        0   100.00   1956
      12        7    41.67   2
       1        0   100.00   20
       1        0   100.00   21a
       1        1     0.00   28
       3        3     0.00   3
       1        0   100.00   31.12.1954
       1        1     0.00   31.12.1955
       1        1     0.00   343
       1        1     0.00   367
       1        1     0.00   368
       1        1     0.00   388
       4        1    75.00   4
       1        1     0.00   440
       1        1     0.00   479
       1        0   100.00   49
       3        1    66.67   5
       2        1    50.00   500
       1        0   100.00   502
       1        1     0.00   503
       1        0   100.00   52
       1        0   100.00   545
       1        0   100.00   586900
       2        2     0.00   6
       3        0   100.00   60
       1        1     0.00   642
       1        0   100.00   65
       1        1     0.00   7
       1        0   100.00   70
       1        0   100.00   703
       1        0   100.00   73
       1        1     0.00   737
       1        1     0.00   75
       1        1     0.00   77
       1        1     0.00   785
       1        1     0.00   8
       1        1     0.00   810
       2        1    50.00   870
       1        0   100.00   89
       1        0   100.00   893
       1        1     0.00   9
       4        2    50.00   920
       1        0   100.00   940
       1        1     0.00   978
       1        0   100.00   abschreibungen
       1        0   100.00   ag
       1        0   100.00   ak
       1        1     0.00   akt
       1        1     0.00   aktien
       1        0   100.00   aktiengesellschaft
       1        1     0.00   aktienkurse
       1        0   100.00   albert
       1        0   100.00   alkohol
       1        0   100.00   alkoholfreien
       1        1     0.00   amtl
       1        1     0.00   anlagevermögen
       1        0   100.00   arbeitnehmervertreter
       1        1     0.00   arnold
       1        0   100.00   atlas
       1        0   100.00   auch
       4        1    75.00   auf
       1        1     0.00   aufsichtsrat
       2        2     0.00   aus
       1        0   100.00   ausstoßsteigerung
       1        0   100.00   bankverein
       1        1     0.00   barmittel
       1        1     0.00   beschluß
       1        0   100.00   biere
       1        1     0.00   bilanzen
       1        0   100.00   bis
       1        0   100.00   böhm
       1        1     0.00   börsennotiz
       1        0   100.00   commerzbank
       1        0   100.00   d
       1        0   100.00   darunter
       1        0   100.00   das
       1        0   100.00   davon
       2        2     0.00   den
       2        0   100.00   die
       1        0   100.00   dieninghoff
       1        1     0.00   div.sch.nr
       1        1     0.00   dividenden
       9        1    88.89   dm
       1        0   100.00   dorf
       1        0   100.00   dr
       1        0   100.00   dr.jur
       2        0   100.00   durch
       1        0   100.00   düssel
       2        0   100.00   düsseldorf
       1        0   100.00   eigenkapital
       1        0   100.00   eine
       1        0   100.00   eis
       1        0   100.00   erbrachte
       1        0   100.00   erstreckte
       1        0   100.00   erzeugt
       1        0   100.00   es
       1        0   100.00   familie
       1        1     0.00   fernruf
       2        0   100.00   frau
       1        0   100.00   freie
       1        0   100.00   fremdkapital
       1        0   100.00   für
       1        0   100.00   ge
       1        0   100.00   gehälter
       1        0   100.00   gertrud
       1        0   100.00   geschäftsjahr
       1        1     0.00   geschäftsjahr:kalenderjahr
       1        1     0.00   geschäftslage
       1        0   100.00   gesellschaftskasse
       1        0   100.00   getränke
       2        1    50.00   gewinn
       1        0   100.00   gottfried
       1        0   100.00   grevener
       1        1     0.00   großaktionär
       1        1     0.00   grundkapital
       1        1     0.00   gründung
       2        0   100.00   h
       1        0   100.00   hallermann
       2        1    50.00   holtmann
       1        1     0.00   i.d.h
       1        0   100.00   ii
       1        0   100.00   jahresertrag
       4        1    75.00   je
       1        0   100.00   k
       1        0   100.00   kapitalherabsetzung
       1        0   100.00   karl
       1        0   100.00   kluge
       1        0   100.00   kurs
       1        0   100.00   levante
       1        0   100.00   lieferbar
       1        0   100.00   lieferforderungen
       1        0   100.00   linie
       1        0   100.00   löhne
       1        0   100.00   maria
       1        0   100.00   martin
       1        0   100.00   marx
       1        0   100.00   mehrheit
      12        1    91.67   münster
       1        0   100.00   nach
       1        0   100.00   nennwert
       1        0   100.00   nom
       2        1    50.00   nr
       1        0   100.00   obergärige
       1        0   100.00   okt
       1        1     0.00   ordnungsnr.d.aktien
       1        1     0.00   rechnungen
       1        0   100.00   reineke
       1        0   100.00   rhode
       1        0   100.00   sich
       1        0   100.00   sind
       1        1     0.00   sitz
       2        1    50.00   st
       2        1    50.00   stammaktien
       1        1     0.00   stellv
       1        0   100.00   steuern
       1        0   100.00   stimme
       1        1     0.00   stimmrecht
       1        1     0.00   straße
       1        1     0.00   stückelung
       1        0   100.00   sämtliche
       1        0   100.00   tränke
       1        1     0.00   tätigkeitsgebiet
       1        0   100.00   ultimo
       1        0   100.00   um
       1        1     0.00   umlaufvermögen
       1        1     0.00   umstellung
       4        1    75.00   und
       1        1     0.00   unter
       2        0   100.00   v
       1        1     0.00   v.v
       1        1     0.00   verlust
       1        0   100.00   vom
       1        0   100.00   vorräte
       3        1    66.67   vors
       1        1     0.00   vorstand
       1        0   100.00   vortrag
       1        0   100.00   werden
       1        0   100.00   werner
       7        0   100.00   westf
       1        0   100.00   wolters
       1        1     0.00   zahlstellen
       2        1    50.00   zu
       1        1     0.00   zur
       1        0   100.00   überdurchschnittliche
