UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     309   Words
      12   Misrecognized
   96.12%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       2        0   100.00        1
       1        0   100.00        2
       1        0   100.00        4
       4        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
      43        3    93.02        1
      40        3    92.50        2
      67        2    97.01        3
      32        1    96.88        4
      20        1    95.00        5
      14        1    92.86        6
      14        1    92.86        7
      21        0   100.00        8
      10        0   100.00        9
      11        0   100.00       10
      10        0   100.00       11
       6        0   100.00       12
       1        0   100.00       13
       4        0   100.00       14
       2        0   100.00       15
       2        0   100.00       17
       3        0   100.00       18
       2        0   100.00       19
       1        0   100.00       21
       1        0   100.00       22
       1        0   100.00       27
     305       12    96.07    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     173       10    94.22        1
      21        0   100.00        2
       5        0   100.00        3
       5        0   100.00        4
       1        0   100.00        6
       1        0   100.00        7
       2        0   100.00        9
       2        0   100.00      >10
     210       10    95.24    Total

Phrases
   Count   Missed   %Right   Length
     309       12    96.12        1
     308       18    94.16        2
     307       23    92.51        3
     306       28    90.85        4
     305       33    89.18        5
     304       38    87.50        6
     303       42    86.14        7
     302       45    85.10        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       1        0   100.00   i
       1        0   100.00   in
       1        0   100.00   will

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   0
       6        0   100.00   000
       1        0   100.00   001
       1        0   100.00   020
       1        0   100.00   023
       1        0   100.00   051
       9        0   100.00   1
       1        0   100.00   100
       1        0   100.00   1000
       1        0   100.00   107
       1        1     0.00   127
       1        0   100.00   14.9.1951
       1        0   100.00   144
       2        0   100.00   147
       1        0   100.00   15
       2        0   100.00   150
       1        0   100.00   17.8.1954
       1        0   100.00   1928
       2        0   100.00   1948
       1        0   100.00   1949
       1        0   100.00   1950
       1        0   100.00   1951
       1        0   100.00   1952
       1        0   100.00   1953
       2        0   100.00   1954
       3        0   100.00   1955
       1        0   100.00   1956
      12        1    91.67   2
       1        0   100.00   20
       1        1     0.00   21a
       1        1     0.00   28
       3        0   100.00   3
       1        0   100.00   31.12.1954
       1        0   100.00   31.12.1955
       1        0   100.00   343
       1        0   100.00   367
       1        0   100.00   368
       1        0   100.00   388
       4        0   100.00   4
       1        0   100.00   440
       1        0   100.00   479
       1        0   100.00   49
       3        0   100.00   5
       2        0   100.00   500
       1        0   100.00   502
       1        0   100.00   503
       1        0   100.00   52
       1        0   100.00   545
       1        0   100.00   586900
       2        0   100.00   6
       3        0   100.00   60
       1        0   100.00   642
       1        0   100.00   65
       1        1     0.00   7
       1        0   100.00   70
       1        0   100.00   703
       1        0   100.00   73
       1        0   100.00   737
       1        1     0.00   75
       1        0   100.00   77
       1        0   100.00   785
       1        0   100.00   8
       1        0   100.00   810
       2        0   100.00   870
       1        0   100.00   89
       1        0   100.00   893
       1        0   100.00   9
       4        0   100.00   920
       1        0   100.00   940
       1        0   100.00   978
       1        0   100.00   abschreibungen
       1        0   100.00   ag
       1        0   100.00   ak
       1        0   100.00   akt
       1        1     0.00   aktien
       1        0   100.00   aktiengesellschaft
       1        0   100.00   aktienkurse
       1        0   100.00   albert
       1        0   100.00   alkohol
       1        0   100.00   alkoholfreien
       1        0   100.00   amtl
       1        0   100.00   anlagevermögen
       1        0   100.00   arbeitnehmervertreter
       1        0   100.00   arnold
       1        0   100.00   atlas
       1        0   100.00   auch
       4        0   100.00   auf
       1        0   100.00   aufsichtsrat
       2        0   100.00   aus
       1        0   100.00   ausstoßsteigerung
       1        0   100.00   bankverein
       1        0   100.00   barmittel
       1        0   100.00   beschluß
       1        0   100.00   biere
       1        0   100.00   bilanzen
       1        0   100.00   bis
       1        0   100.00   böhm
       1        0   100.00   börsennotiz
       1        0   100.00   commerzbank
       1        1     0.00   d
       1        0   100.00   darunter
       1        0   100.00   das
       1        0   100.00   davon
       2        0   100.00   den
       2        0   100.00   die
       1        0   100.00   dieninghoff
       1        0   100.00   div.sch.nr
       1        0   100.00   dividenden
       9        0   100.00   dm
       1        0   100.00   dorf
       1        0   100.00   dr
       1        0   100.00   dr.jur
       2        0   100.00   durch
       1        0   100.00   düssel
       2        0   100.00   düsseldorf
       1        0   100.00   eigenkapital
       1        0   100.00   eine
       1        0   100.00   eis
       1        0   100.00   erbrachte
       1        0   100.00   erstreckte
       1        0   100.00   erzeugt
       1        0   100.00   es
       1        0   100.00   familie
       1        1     0.00   fernruf
       2        0   100.00   frau
       1        0   100.00   freie
       1        0   100.00   fremdkapital
       1        0   100.00   für
       1        0   100.00   ge
       1        0   100.00   gehälter
       1        0   100.00   gertrud
       1        0   100.00   geschäftsjahr
       1        0   100.00   geschäftsjahr:kalenderjahr
       1        0   100.00   geschäftslage
       1        0   100.00   gesellschaftskasse
       1        0   100.00   getränke
       2        0   100.00   gewinn
       1        0   100.00   gottfried
       1        0   100.00   grevener
       1        0   100.00   großaktionär
       1        0   100.00   grundkapital
       1        0   100.00   gründung
       2        0   100.00   h
       1        0   100.00   hallermann
       2        0   100.00   holtmann
       1        1     0.00   i.d.h
       1        1     0.00   ii
       1        0   100.00   jahresertrag
       4        0   100.00   je
       1        0   100.00   k
       1        0   100.00   kapitalherabsetzung
       1        0   100.00   karl
       1        0   100.00   kluge
       1        0   100.00   kurs
       1        0   100.00   levante
       1        0   100.00   lieferbar
       1        0   100.00   lieferforderungen
       1        0   100.00   linie
       1        0   100.00   löhne
       1        0   100.00   maria
       1        0   100.00   martin
       1        0   100.00   marx
       1        0   100.00   mehrheit
      12        0   100.00   münster
       1        0   100.00   nach
       1        0   100.00   nennwert
       1        0   100.00   nom
       2        0   100.00   nr
       1        0   100.00   obergärige
       1        0   100.00   okt
       1        0   100.00   ordnungsnr.d.aktien
       1        0   100.00   rechnungen
       1        0   100.00   reineke
       1        0   100.00   rhode
       1        0   100.00   sich
       1        0   100.00   sind
       1        0   100.00   sitz
       2        0   100.00   st
       2        0   100.00   stammaktien
       1        0   100.00   stellv
       1        0   100.00   steuern
       1        0   100.00   stimme
       1        0   100.00   stimmrecht
       1        0   100.00   straße
       1        0   100.00   stückelung
       1        0   100.00   sämtliche
       1        0   100.00   tränke
       1        0   100.00   tätigkeitsgebiet
       1        0   100.00   ultimo
       1        0   100.00   um
       1        0   100.00   umlaufvermögen
       1        0   100.00   umstellung
       4        0   100.00   und
       1        0   100.00   unter
       2        0   100.00   v
       1        0   100.00   v.v
       1        0   100.00   verlust
       1        0   100.00   vom
       1        0   100.00   vorräte
       3        1    66.67   vors
       1        0   100.00   vorstand
       1        0   100.00   vortrag
       1        0   100.00   werden
       1        0   100.00   werner
       7        0   100.00   westf
       1        0   100.00   wolters
       1        0   100.00   zahlstellen
       2        0   100.00   zu
       1        0   100.00   zur
       1        0   100.00   überdurchschnittliche
