1150 ta/to.||| max x_gap: 135.0||| mean x_gap: 135.0||| median x_gap: 135.0
Ordnungsnr.d.Aktien: 620200.||| max x_gap: 785.0||| mean x_gap: 785.0||| median x_gap: 785.0
ultimo 1948 19,5 %||| max x_gap: 207.0||| mean x_gap: 168.333333333||| median x_gap: 160.0
M 1949 73 %||| max x_gap: 276.0||| mean x_gap: 191.333333333||| median x_gap: 154.0
lt 1950 73,5 %||| max x_gap: 287.0||| mean x_gap: 194.666666667||| median x_gap: 153.0
lt 1951 179 %||| max x_gap: 273.0||| mean x_gap: 191.0||| median x_gap: 153.0
«1 1952 145 %||| max x_gap: 285.0||| mean x_gap: 194.666666667||| median x_gap: 153.0
tt 1953 140 %||| max x_gap: 286.0||| mean x_gap: 194.666666667||| median x_gap: 153.0
lt 1954 179,25 %||| max x_gap: 286.0||| mean x_gap: 194.666666667||| median x_gap: 159.0
II 1955 184 %||| max x_gap: 287.0||| mean x_gap: 194.333333333||| median x_gap: 154.0
lO.Okt. 1956 185,5 %+)||| max x_gap: 183.0||| mean x_gap: 160.333333333||| median x_gap: 161.0
1950 0%||| max x_gap: 129.0||| mean x_gap: 129.0||| median x_gap: 129.0
1951 5% (Div.Sch.Nr. 12)||| max x_gap: 262.0||| mean x_gap: 187.666666667||| median x_gap: 167.0
1952 6 % (Div.Sch.Nr. 13)||| max x_gap: 262.0||| mean x_gap: 139.75||| median x_gap: 124.0
1954 7% (Div.Sch.Nr. 1)||| max x_gap: 237.0||| mean x_gap: 178.0||| median x_gap: 168.0
1955 9% (Div.Sch.Nr. 2)||| max x_gap: 237.0||| mean x_gap: 177.666666667||| median x_gap: 167.0
31.12.1954 31.12.1955||| max x_gap: 271.0||| mean x_gap: 271.0||| median x_gap: 271.0
Anlagevermögen 234 352 234 570||| max x_gap: 228.0||| mean x_gap: 138.75||| median x_gap: 120.0
Umlaufvermögen 6 560 2 939||| max x_gap: 550.0||| mean x_gap: 219.25||| median x_gap: 119.0
Eigenkapital 206 874 206 869||| max x_gap: 316.0||| mean x_gap: 160.5||| median x_gap: 119.0
(davon A.-K.) 102 240 102 240||| max x_gap: 348.0||| mean x_gap: 147.4||| median x_gap: 89.0
Fremdkapital 26 696 21 165||| max x_gap: 292.0||| mean x_gap: 154.75||| median x_gap: 120.0
Gewinn nach Vortrag 7 342 9 475||| max x_gap: 183.0||| mean x_gap: 125.333333333||| median x_gap: 123.0
Löhne und Gehälter 568 620||| max x_gap: 252.0||| mean x_gap: 194.5||| median x_gap: 219.5
Steuern 5 663 16 519||| max x_gap: 419.0||| mean x_gap: 185.75||| median x_gap: 118.5
Jahresertrag 7 712 26 342||| max x_gap: 301.0||| mean x_gap: 156.0||| median x_gap: 119.0
Gründung:1951. I||| max x_gap: 554.0||| mean x_gap: 554.0||| median x_gap: 554.0
Kapital: DM 7 000 000. - (100%). I||| max x_gap: 282.0||| mean x_gap: 115.571428571||| median x_gap: 91.0
Kapital: DM 250 000. - (50%). I||| max x_gap: 353.0||| mean x_gap: 134.5||| median x_gap: 96.5
Kapital: DM 21 000 000. - (2%) I||| max x_gap: 328.0||| mean x_gap: 115.714285714||| median x_gap: 92.0
Kapital: DM 18 000 000. - (3%) I||| max x_gap: 356.0||| mean x_gap: 119.714285714||| median x_gap: 90.0
Dividenden ab 1949/50: 0,0,0,0,0,0%. I||| max x_gap: 328.0||| mean x_gap: 192.75||| median x_gap: 190.5
